Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\Node,3,343,183,153,6,59,0,101,151,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\log,3,255,203,161,10,51,0,1,1,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\model,3,199,150,114,13,49,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\utility,5,526,329,247,40,114,7,83,273,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\view,8,4300,3174,2487,263,897,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application\view\controller,8,4300,3174,2487,263,897,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src,26,6018,4264,3357,338,1310,11,444,995,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application,26,6018,4264,3357,338,1310,11,444,995,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\Node,3,343,183,153,6,59,0,101,151,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\log,3,255,203,161,10,51,0,1,1,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\model,4,424,272,218,18,123,2,29,183,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\utility,5,526,329,247,40,114,7,83,273,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\view,8,4330,3179,2491,263,922,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\src\application\view\controller,8,4330,3179,2491,263,922,2,229,385,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem,28,1766,1202,937,74,389,1,175,432,21,21
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src,28,1766,1202,937,74,389,1,175,432,21,21
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\activforms,9,597,414,339,18,132,0,51,144,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\activforms\engines,3,250,162,144,3,44,0,44,120,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas,19,1169,788,598,56,257,1,124,288,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\adaptation,2,117,69,47,2,34,0,14,35,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\adaptation\simple,2,117,69,47,2,34,0,14,35,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\configuration,4,390,266,227,18,80,0,44,92,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services,13,662,453,324,36,143,1,66,161,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\alarm,1,17,12,8,0,5,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\assistance,3,259,175,119,9,46,0,38,83,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\drug,1,22,16,10,0,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\log,2,149,106,83,7,27,0,16,39,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\medical,1,21,15,11,1,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\profiles,2,92,56,38,6,26,1,10,22,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TeleAssistanceSystem\src\tas\services\qos,3,102,73,55,13,27,0,2,17,0,0
