File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\utility\FileManager.java,130,70,50,7,15,0,45,179,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\utility\NodeVisitor.java,183,112,90,15,47,7,24,66,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\utility\Utility.java,19,15,11,1,4,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller\ApplicationController.java,1330,1027,820,58,249,0,54,112,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller\ChartController.java,772,533,438,59,194,2,45,76,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller\ConfigureController.java,60,39,29,0,19,0,2,2,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller\InputProfileController.java,652,511,388,32,123,0,18,39,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller\LogController.java,298,198,160,26,67,0,33,43,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller\PropertyController.java,127,105,64,13,22,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller\ServiceProfileController.java,797,572,434,58,162,0,63,89,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\application\view\controller\TableViewController.java,264,189,154,17,61,0,14,24,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\profile\InputProfile.java,135,71,52,15,19,0,45,158,3,3
